,410001,410004,410006,72000,72004,720024,72042,72044,72154,73019,73025,73029,73124,74126,Lake City,Camden,Hillsboro,phoenix area,Marshall,Subiaco,HOBART MUNICIPAL AP ,TUCUMCARI 4 NE ,DEATH VALLEY NATIONAL PARK  ,HOPEWELL,NEOSHO ,LAS ANIMAS ,BLANDING,Yosemite national park area,Saluda,Clarksdale,Portales,Springerville,Ojai
1912-11-01,117014.855,,60366,72.8,101.9,,52.9,78.1,,46.7,26.4,45.1,20.8,0,,,,,,,,,,,,,,,,,,,
1912-12-01,88808.446,,67435,67,160.4,,51,81.5,,46.5,38.2,35.1,31.4,0,,,,,,,,,,,,,,,,,,,
1913-01-01,62323.94,53526.51,39049.845,48.1,69.9,,34.9,86.7,,48,36.6,32,33.3,0,,,,,,,,,,,,,,,,,,,
1913-02-01,19285.781,21884.172,14026.203,27,52.9,,44,37.4,,31.2,48,34.3,16.8,0,,,,,,,,,,,,,,,,,,,
1913-03-01,120502.061,127386.573,82263.78,147,247.3,,110.5,152.5,,110,90.2,92,93.2,0,,,,,,,,,,,,,,,,,,,
1913-04-01,66652.756,55763.929,29371,4.9,16.6,,4.6,10,,1.8,1.6,11.1,7.1,0,,,,,,,,,,,,,,,,,,,
1913-05-01,197233.985,220061.046,78425.206,96.7,112.5,,78.2,88.8,,75.2,61,66.2,38.1,0,,,,,,,,,,,,,,,,,,,
1913-06-01,307982.002,338266.659,64861.261,38,48.3,,31,24.2,,40.1,36,54.5,39.4,0,,,,,,,,,,,,,,,,,,,
1913-07-01,397319.28,384432.315,50651.561,30.6,47.2,,21.4,31.3,,25.4,16.6,13.8,19.9,0,,,,,,,,,,,,,,,,,,,
1913-08-01,246512.98,272745.592,109929.713,54.9,138,,41.3,61.1,,15,18.2,23,11.1,0,,,,,,,,,,,,,,,,,,,
1913-09-01,271581.575,295843.518,196420.822,61.9,149.7,,53.8,65,,34.3,28.5,35.5,12,0,,,,,,,,,,,,,,,,,,,
1913-10-01,220960.61,228207.549,129091.302,65,124.5,,53.4,73.5,,49.3,46.4,63.8,48.2,0,,,,,,,,,,,,,,,,,,,
1913-11-01,125523.171,119834.453,66157.975,19.1,49,,24,8.9,,4.8,5.6,9.4,0,0,,,,,,,,,,,,,,,,,,,
1913-12-01,50868.967,47462.41,22613.625,26.8,64.3,,26.9,28.4,,17.5,11.2,48.7,7.6,0,,,,,,,,,,,,,,,,,,,
1914-01-01,26761.98,27354.141,15198.156,32.8,42.3,,24.5,33.5,,16.5,7.9,61.5,6.9,0,,,,,,,,,,,,,,,,,,,
1914-02-01,10799.266,14694.484,6901.793,0.5,2,,1.3,0,,4.8,0,7.9,0,0,,,,,,,,,,,,,,,,,,,
1914-03-01,87616.752,95683.416,12347.953,119,173.8,,123.9,76.7,,74.4,52.3,98.2,88.9,0,,,,,,,,,,,,,,,,,,,
1914-04-01,137857.661,113614.507,23599.655,29.5,73.4,,33.4,37.7,,16.5,13.4,36.6,15.7,0,,,,,,,,,,,,,,,,,,,
1914-05-01,102968.383,87175.307,57577.543,42.2,99,,31.5,51.7,,22.6,20.2,16.8,21.1,0,,,,,,,,,,,,,,,,,,,
1914-06-01,81325.581,59798.022,29897.25,55.4,62,,39.9,50.1,,22.4,19.1,27.6,15.7,0,,,,,,,,,,,,,,,,,,,
