,410001,410004,410006,72000,72004,720024,72042,72044,72154,73019,73025,73029,73124,74126,Lake City,Camden,Hillsboro,phoenix area,Marshall,Subiaco,HOBART MUNICIPAL AP ,TUCUMCARI 4 NE ,DEATH VALLEY NATIONAL PARK  ,HOPEWELL,NEOSHO ,LAS ANIMAS ,BLANDING,Yosemite national park area,Saluda,Clarksdale,Portales,Springerville,Ojai
1993-04-01,308611.8,300852.1,278559.431,21.6,23.2,15.8,12.8,34.6,28,4.6,5,5.6,6.4,,1.2,5.17,3.29,0,2.58,7.04,4.1,0.68,0,3.96,3.6,1.28,0.59,1.6,2.28,7.2,0.25,0.03,0
1993-05-01,281568.1,280634.9,266986.171,37,56.2,36.9,33.8,43.8,42.8,38.4,37.2,48.5,39,,0.67,3.48,4.8,0.08,2.68,4.66,8.91,0.88,0,4.89,9.04,2.32,1.62,1.77,2.72,5.85,1.31,0.31,0.21
1993-06-01,305897.2,296882.5,261083.832,47.7,112.4,55.6,32.2,48.6,51.8,30.8,26.4,24.9,21,,6.7,3.79,2.37,0.01,2.26,5.77,0.8,3.11,0,4.44,10.49,1.92,0.12,1.71,1.64,4.51,1,0.19,1.6
1993-07-01,576999.8,572042.6,177465.217,160.8,250,166.2,141.1,174,182,134.2,121.4,187.8,119.8,,4.42,1.88,0,0.0005,3.44,2.04,5.86,2.19,0,2.68,6.3,0.12,0.01,0,4.12,0.86,4.32,0.61,0
1993-08-01,574270.2,491409.7,184695.756,38,78,32.2,28.8,44.6,42.8,18.6,21.6,32.7,12.6,,1.17,2.25,0.04,0.55,4.17,3.44,2.88,2.71,0,2.05,3.77,1.75,1.79,0,1.66,4.35,4.05,4.63,0
1993-09-01,896741.7,749554.8,231289.037,110,197,154.6,103,104.8,112.4,128.2,101,97.6,82.6,,6.4,2.21,1.83,0.06,2.8,7.21,4.59,0.25,0,2.17,13.67,0.61,0.83,0,4.78,3.94,2.17,1.79,0
1993-10-01,956758.5,799131,244549.341,129,245.4,111.9,124.4,151.4,134,98.5,103.6,102.3,105.8,,4.23,7.12,11.94,1.27,1.73,4.58,1.42,1.94,0,2.56,1.22,0.53,1.43,1.44,5.64,3.14,0.94,1.16,0.15
1993-11-01,485811.9,440718.6,251125.398,113.8,110.2,81.4,110.1,103,94.2,70.8,62.4,110.6,55.6,,3.18,4.85,2.51,2.79,2.76,4.47,0.88,0.43,0.03,3.12,3.24,0.84,1.08,1.94,1.6,4.6,0.69,0.17,1.12
1993-12-01,338114.5,304102.5,185422.896,94.2,151,138,52.3,80.6,85.4,56.8,71,64.4,41.6,,2.31,7.9,1.37,0.02,3.86,3.13,1.29,0.02,0.06,3.82,1.73,0.0005,0.42,null,3.33,5.78,0.12,0.13,1.47
1994-01-01,471578.775,488150.2,267830.456,16.2,47.6,22.4,20.1,21,23.6,8,24.4,25,0,,8.12,5.29,1.38,0.13,5.23,4.87,0.18,0.09,0.04,3.21,3.28,0.24,0.29,1.91,4.43,7.66,0.05,0.43,0.63
1994-02-01,453134.109,440944.5,224904.093,89.2,120.6,65.8,106.2,86.4,69.6,127.8,115.2,null,134.6,,1.49,5.36,3.7,0.54,4.54,2.98,0.9,0.05,0.05,4.65,1.79,0,1.47,5.92,3.85,4.1,0.18,0.31,6.36
1994-03-01,327422.466,306748.6,253529.882,56.8,40.6,42.4,36.8,50.4,38,44.2,41.8,null,42.8,,3.6,4.97,2.54,1.36,7.17,4.24,1.76,1.48,0.05,7.86,6.15,0.73,0.21,1.43,5.46,6.31,0.71,0.54,2.23
1994-04-01,234895.866,219368.5,176987.363,23.8,25.2,32.6,24.4,20.4,17.6,17.8,18.6,null,null,,0.86,1.28,2.52,0.09,4.6,5.53,3.96,1.97,0.01,2.58,9.79,2.06,2.67,null,0.54,1.55,0.59,0.12,0.42
1994-05-01,209715.725,199780,153788.79,27.4,45.4,20.2,11.4,18.2,13.4,4.9,7.2,null,null,,1.55,5.4,6.85,0.39,2.38,3.6,1.59,5.17,0,3.67,1.07,1.98,1.34,1.72,2.12,2.75,2.3,0.35,0.48
1994-06-01,148413.971,122430.2,72964.293,76.8,130.2,75.4,49.6,81.8,85.4,33,30.2,null,null,,10.37,2.98,1.72,0.0005,6.16,2.37,1.72,0.84,0,0.67,2.96,1.16,0.0005,0,8.56,7.36,0.41,2.25,0
1994-07-01,132575.819,118798.3,80521.411,43.4,28,41.1,39,39.2,40.6,21.2,29.2,null,null,,5.64,12.34,0.4,0.25,4.79,7.5,1.82,2.13,0,6.04,6.45,1.78,1.08,0,6.6,9.13,2.84,2.04,0
1994-08-01,213905.88,202020.3,157713.951,24.6,80.4,20.6,10.4,25.2,26.4,10,13,null,null,,5.21,4.03,1.01,0.02,5.82,4.86,1.55,2.22,0,2.7,5.31,2.52,1.08,0,8.65,1.04,2.29,3.21,0
1994-09-01,262684.175,268593,246064.253,26.5,42.4,15.8,19.2,20.6,28,32.6,17.8,null,null,,4.24,1.5,4.25,1.74,3.26,2.6,1.34,1.35,0.26,4.97,2.62,1.19,1.38,1.74,3.36,1.66,1.15,3.41,0.85
1994-10-01,437522.383,440117.8,284733.3,58.4,65.8,65.8,40.8,76.6,59.2,42.2,32.4,null,null,,9.51,10.2,6.87,0.55,2.51,1.68,3.55,1.51,0,2.78,7.76,1.15,1.86,null,4.93,3.38,null,1.85,0.76
1994-11-01,349472.107,350863.4,261559.016,82.4,146.1,55.4,36,70.4,64.8,63.5,59,null,null,,0.81,1.84,5.17,0.68,1.86,12.48,3.59,0.47,0,4.38,7.88,0.56,1.32,10.26,3.8,3.57,0.39,1.07,1.02
1994-12-01,478845.664,486825.9,290333.938,57.8,59.6,33,42.2,50.6,38.4,23,24.2,null,null,,1.38,6.13,6.11,3.03,1.24,4.41,0.27,0.4,null,0.91,0.81,0.07,2.01,null,6.4,3.87,0.17,0.58,0.96
1995-01-01,442229.209,421904.494,259856.128,157.2,169.6,176.7,105.6,151.6,169.8,131.5,148.8,0,null,,4.38,6.61,2.92,1.41,6.04,5.05,0.67,0.13,2.59,4.56,3.02,0.5,2.04,null,5.65,6.03,0.47,0.93,24.53
1995-02-01,313424.846,318041.063,243411.559,39.2,19.4,6.2,5.3,29.8,30.2,7.2,14.4,0,null,,1.77,2.33,0.57,0.34,4.29,0.66,0.02,0.01,0.17,1.63,0.87,0.17,0.95,1.7,6.17,3.42,0.28,0.55,1.88
1995-03-01,313618.135,304488.308,234286.83,0.4,1.2,0,0.4,0,0,0,0,0,null,,2.97,4.75,4.65,1.04,2.87,2.26,2.74,0.78,0.31,3.47,0.61,0.96,2.02,18.29,1.88,4.47,0.59,0.26,10.5
1995-04-01,140893.495,125043.934,105838.403,44.4,59.8,52.2,35.5,32.2,40.6,26.6,25.4,0,null,,4.01,5.56,9.39,0.29,1.72,4.52,3.13,0.28,0,2.13,9.42,2.63,1.21,4.91,1.2,6.14,0.36,0.22,0.37
1995-05-01,159401.938,104099.351,45190.892,179.2,309.3,202,178.5,185.8,187.6,108.8,108,0,128.4,,4.29,5.67,8.43,0.09,3.14,5.88,8.68,2.63,0.07,4.51,7.75,6.96,2.24,3.88,1.66,4.12,4.39,0.4,2.06
1995-06-01,194190.78,111399.616,42558.321,93,144.9,106.8,76,92.6,99.4,52.1,58.8,0,70.2,,9.48,3.61,3.39,0.0005,6.62,5.34,6.28,1.11,0.02,2.35,10.27,4.8,0.56,1.57,6.92,3.15,1.62,0.27,0.34
1995-07-01,736929.061,513254.417,119689.59,181.8,320,171.8,119.3,178.2,180.6,66.8,72.2,0,85.8,,8.52,3.24,3.35,0.0005,2.56,4.91,1.4,2.65,0,4.04,1.56,1.69,0.81,0.24,4.58,3.63,1.81,null,0.0005
1995-08-01,300758.641,212482.025,48536.276,25.4,40.9,26.6,16.5,19.4,30.6,6.9,8.4,0,3.8,,8.25,0.58,5.12,3.5,4.62,0.34,6.64,1.23,0.0005,4.19,0.7,0.45,1.41,0,6.86,0.57,1.79,2.59,0
1995-09-01,250561.082,231109.416,97827.491,50,80.6,78.8,31.4,52,45,27.2,34.2,0,40.8,,0.92,2.07,3.43,1.08,2.51,2.7,7.52,2.1,0,4.77,3.2,1.33,1.17,0,4.52,0.23,3.87,2.12,0
1995-10-01,415997.202,403979.722,180993.073,79.7,118.2,92,64.2,79.4,77.6,55.1,50.6,0,45.5,,5.08,0.92,0.68,0,4.36,2.08,0.85,0.33,0.04,6.33,0.61,0.03,0,0,4.28,1.77,0.8,0.0005,0
1995-11-01,297598.443,279787.969,181412.83,102,141,142.6,112.2,113.2,129,111,115.8,0,118.4,,4.1,1.67,0.98,1.75,3.21,2.83,0.19,0.01,0,3.24,0.11,0.0005,0.27,0.17,4.25,3.15,0.0005,0.72,0.11
1995-12-01,601039.209,598735.939,224154.287,74.2,100.2,69.6,44.4,75,65.8,62.8,61.2,0,38.5,,1.36,4.86,1.22,0.01,0.9,4.71,0.77,0.4,0.07,1.8,3.38,0.03,0.19,8.82,2.59,null,0.27,0.56,2
1996-01-01,430243.379,422950.795,257407.597,105.2,187.3,156.4,104,125.2,130.4,64,76.4,0,42.6,,1.01,2.64,0.75,0.24,6.62,3.31,0.0005,0.21,0,5.14,null,0.08,0.85,10.26,4.99,4.43,0.05,null,1.17
1996-02-01,383848.59,387261.18,246745.114,55.2,73,39.6,47.4,40.8,45,36.6,36,0,39.2,,1.38,1.56,0.24,1.03,2.84,0.97,0.03,0.06,0.33,null,0.25,0.39,0.43,10,2.76,2.67,0.09,0.32,9.5
1996-03-01,221369.821,207399.663,173051.237,39.4,58.6,52,8,44,44.4,36.2,36.6,0,34.2,,7.97,3.71,1.69,0.55,3.29,3.09,0.61,0.0005,0.15,3.17,2.08,1.51,0.3,6.59,6.58,4.37,0.01,0.35,2.75
1996-04-01,157089.93,152886.74,109354.918,28.4,42.1,26.2,15.6,22,28,11.6,12.6,0,13.7,,2.63,3.6,3.26,0.0005,3.39,5.12,0.18,0,0,3.27,3.52,0.35,0.25,4.1,4.8,6.54,0,0,1.1
1996-05-01,121202.994,114330.539,67937.03,63.2,103.4,60.8,54.6,49.2,42.8,41.6,38.6,0,42.9,,2.49,1.67,1.22,0.0005,6.66,3.65,2.61,0.45,0.12,3.82,2.87,2.35,0.58,3.81,3.03,2.84,0.21,0.01,0.34
1996-06-01,125608.464,125670.363,76795.358,115,167.1,74.2,80.6,95.8,111,59.2,70.2,0,68.3,,6.61,4.54,2.88,0.0005,3.63,6.08,1.88,3.88,0,3.9,5.32,2.61,0.55,0.64,2.02,3.33,4.36,0.73,0
1996-07-01,340514.301,338326.034,67330.956,114.7,162.6,94.2,89.4,109.8,119,85.1,102.4,0,119.4,,4.35,6.5,1.34,1.04,2.52,5.55,5.89,8.72,0.02,4.92,4.27,4.15,0.32,0,3.64,5.3,3.73,3.02,0
1996-08-01,804619.523,685526.648,227763.655,85.8,150,82.4,69.1,77.4,83,47.8,55.8,0,55.7,,7.42,5.37,6.11,0.34,6.36,4.08,null,2.44,0,5.15,2.75,2.68,1.08,0.03,2.16,2.19,7.21,1.62,0
1996-09-01,509864.219,513907.408,229242.199,95.8,195.7,73.4,58.8,104.4,86.8,54.6,60.6,0,56.3,,3.52,3.26,7.49,0.54,4.18,5.54,null,0.84,0,8.11,7.95,1.53,2.84,0.12,2.44,5.73,1.37,1.91,0
1996-10-01,884818.145,836581.027,256222.625,83.2,124.7,78.6,60.6,73.2,65,31.2,52.6,0,40.2,,6.83,3.5,1.45,0.37,1.29,2.73,null,1.62,0.42,5,5.67,0.46,2.1,5.49,4.02,2.99,0.53,1.83,3.32
1996-11-01,415119.971,409818.48,268792.951,73.4,85.4,67.6,64,72,101,42.2,54.6,0,48,,1.34,6.46,4.3,0.23,3.27,12.26,null,0.52,0,4.48,7.18,0.08,2.17,10.99,2.94,7.08,0.36,0.23,3.21
1996-12-01,485854.967,500604.131,280162.089,70,110.8,62.1,70.2,77.4,63.8,42,52.6,0,73,,3.92,4.44,2.79,0.02,3.61,2.13,null,0.15,0.11,5.44,0.09,0.11,0.95,10.68,3.22,2.39,0.01,0,6.89
1997-01-01,557162.307,586049.035,280449.082,43.9,43,30,44.4,47.8,36,23.4,24.8,0,14.2,,3.65,6.15,3.09,0.9,2.67,1.05,null,0.35,0.0005,2.13,null,0.66,3.15,17.57,4.85,6.92,0.38,0.86,7.44
1997-02-01,403051.43,416647.074,253223.744,5.5,8.4,6.4,4.6,3.8,4,2.2,1.6,0,0,,1.86,6.36,7.98,0.55,2.74,5.31,null,0.81,0.01,4.48,5.91,null,1.77,0.85,5.26,7.48,0.43,null,0.15
1997-03-01,305912.486,296644.742,246957.762,42.2,58,73.2,33.2,46.8,40,137.4,82.2,0,67,,1.85,7.8,4.36,0.01,6.56,2.18,null,0.09,0,3.19,3.3,0.06,0.05,0.24,4.2,6.47,0.04,0.08,0
1997-04-01,203485.329,203334.642,177799.124,0,5.2,0.2,3.2,2.2,0.8,0.8,0.6,0,0,,7.18,12.9,6.11,0.24,3.98,4.61,null,4.89,0,4.8,2.42,1.71,1.99,0.93,4.03,5.9,3.53,0.08,0
1997-05-01,113933.242,97018.886,68120.964,88.1,115.2,69.4,60.4,83,87.8,38.8,46.2,0,53.1,,3.08,3.77,1.94,0.0005,2.55,2.17,null,1.47,0,1.02,7.07,0.4,1.18,0.53,2.38,6.69,1.35,0.85,0
1997-06-01,57402.485,45776.868,27362.598,53.2,110.8,59.4,56.8,57.2,62.6,35.1,41,0,40.6,,5.73,6.24,4.42,0.0005,4.09,5.24,null,3.39,0.4,2.53,6.31,1.16,0.48,0.65,3.97,4.88,3.11,0.75,0.02
1997-07-01,77900.735,73755.957,54259.432,38,77.3,43.8,30.7,39,41.6,23,30,0,26.8,,7.14,0.5,0.66,0.17,3.62,1.89,null,3.25,0.29,7.82,1.9,2.15,2.94,0.42,10.13,2.71,4.24,2.13,0
1997-08-01,142138.202,130088.829,90025.521,80.1,114.4,80.2,58.4,74,75.4,35.5,41,0,42,,4.86,2.13,3.2,1.39,1.08,1.76,null,4.54,0.0005,0.44,5.28,2.34,2.9,0.48,2.05,6.15,2.05,1.5,0
1997-09-01,218437.745,188219.851,103966.808,108.4,185.4,99.4,95,121.2,130.6,68.3,80.4,0,85.7,,2.63,0.98,0,0.45,5.5,2.24,null,1.25,1.48,1.57,null,0.49,1.87,0.99,4.64,3.11,2.29,3.04,0
1997-10-01,480940.836,499652.426,273311.651,13.4,21.7,20.8,4.4,17.2,30.2,20.8,31.6,0,30,,3.53,4.84,null,0.07,2.33,4.35,null,0.64,0,3.78,3.22,3.21,1.66,0.43,5.32,5.07,0.46,1.33,0
1997-11-01,403190.719,423077.686,244646.829,37.6,63.9,47.2,42.6,32.4,35,18.7,20.8,0,5.6,,4.26,4.31,2.38,0.06,1.31,3.96,null,0.56,0.11,6.3,2.49,0.11,0.76,3.71,5.39,1.4,0.35,0.42,3.02
1997-12-01,521465.49,557693.607,282557.639,50,78,42.4,52.1,39,22.2,15,14.4,0,12.8,,5.01,5.24,9.69,0.83,3.51,5.1,null,2.7,0.52,2.96,3.79,1.02,1.3,3.87,5.1,3.99,3.47,1.09,6.29
1998-01-01,489470.131,507900.98,282285.088,36.6,26.9,26.4,25.6,30.8,20.4,38.5,45,0,18.8,,5.45,6.84,5.52,0.35,7.06,8.26,null,0.15,0.09,5.99,3.94,0.01,0.79,12.01,6,8.2,0.01,0.05,3.91
1998-02-01,335229.705,339694.676,247655.918,20.4,25.6,18.6,19.2,7.6,15.4,16.4,22.2,0,14,,9.87,6.33,3.41,2.93,4.37,5,null,0.61,2.31,5.49,1.3,0.27,1.78,18.82,5.76,6.65,0.76,0.53,23.76
1998-03-01,323110.278,324280.687,257488.333,1.6,9.5,1.8,2.4,1.2,1.6,0,0,0,0,,5.73,4.42,3.77,1.31,3.11,5.86,null,2.59,0.74,7.69,6.52,1.5,1.56,6.94,4.32,4.49,1.2,1.17,4.4
1998-04-01,151087.575,135060.181,109103.593,97.8,129.2,85.2,87,81.4,106.8,42,48.2,0,46.4,,2.94,1.63,2.12,0.43,6.28,2.66,0.74,1.23,0.17,4.54,3.48,0.53,0.73,2.59,4.44,3.23,0.24,0.58,2.48
1998-05-01,65619.27,55555.575,41109.359,14.3,28.6,9,18.4,19,16,10.9,10.8,0,7.6,,0.53,0.23,0.75,0.04,3.03,3.28,1.83,0.08,0.16,5.33,5.76,1.81,0.62,4.54,3.07,1.63,0.15,0,4.07
1998-06-01,101942.823,85788.941,34238.954,126.4,190,109.4,130.6,124.6,143.4,80.5,96.4,0,93.3,,4.01,2.19,1.43,0,4.08,2.41,0.41,0.14,0.22,1.68,3.61,0.48,0.12,1.67,3.47,2.06,0.01,0,0.36
1998-07-01,175897.794,163342.708,51063.657,107.8,174.7,95,63.8,95.8,87.4,35.7,47.8,0,40.6,,10.47,3.37,0.77,1.94,1.73,2.2,0.48,2.45,0.02,2.1,2.86,8.53,1.91,0.04,4.08,2.09,0.76,1.78,0
1998-08-01,386196.678,292936.072,69773.754,96.4,121.8,97,50,103.2,87.8,48.7,50.8,0,59,,5.99,6.01,2.22,1.05,1.42,1.46,0.64,4.56,0.04,1.82,2.89,2.71,0.44,0,2.32,0.78,2.07,1.62,0
1998-09-01,385823.896,316774.045,63672.847,113,189.4,106.6,80.6,101.6,113,68.4,91.4,0,80.6,,11.22,8.17,4.52,0.58,1.46,3.59,0.08,0.61,0.45,5.07,6.19,0.95,0.75,1.15,6.42,1.24,0.92,0.29,0.4
1998-10-01,397404.176,377339.769,55210.309,70,91.2,67,48,75.2,76,41.1,45.6,0,20.6,,3.12,2.82,null,1.03,1.05,8.5,5.91,4.6,0.06,0.69,6.81,1.24,3.58,0.74,2.32,1.03,6.42,0.99,0.0005
1998-11-01,334191.832,318691.139,107970.024,81.4,89.2,61.4,71.1,52.4,63.6,88.2,61.6,0,33.6,,0.18,2.64,5.76,0.19,2.16,3.77,0.61,0.42,0,1,3.13,1.06,1.72,6.22,1.58,2.49,0.37,0.26,1.02
1998-12-01,474257.412,484698.271,234314.376,35.6,52.2,76.4,31.2,16.2,25.8,7.9,10.6,0,22,,0.53,6.83,5.55,0.68,3.85,3.32,0.84,0.21,0,5.53,1.18,0.22,0.22,1.66,3.02,6.44,0.26,0.35,0.57
1999-01-01,574678.713,587522.588,269716.551,54.2,58.8,71.8,63.4,86.4,64,53.9,78.6,0,59.8,,5.37,8.25,1.91,0.01,3.77,3.32,1.6,1.68,0.14,5.44,1.54,0.73,0.46,8.58,4.99,16.36,1.02,0.5,3.41
1999-02-01,347654.805,338686.141,230220.51,21.6,21.4,22.4,10.6,14.6,17.2,12.2,9,0,0,,1.41,0.48,0.05,0.17,2.95,0.72,0.1,0,0,1.54,2.45,0.07,0.72,10.25,2.93,3.23,0,0,0.92
1999-03-01,259245.649,243869.254,168190.532,90,118.8,null,86.8,89.2,97.8,81.4,79.8,0,null,,0.86,5.56,1.75,0.11,3.1,5.21,2.55,1.25,0,5.12,4.65,1.22,0.08,2.14,3.51,6.43,1.86,0.3,3.09
1999-04-01,112963.322,86878.284,51776.82,43.6,45.2,54,56.2,59,61,55.8,46.4,0,43,,1.27,5.4,3.49,1.13,2.58,5.27,2.91,1.84,0.46,4.58,5.83,5.04,2.91,3.08,3.31,5.77,1.6,0.03,2.87
1999-05-01,101297.083,93601.593,68774.346,68,108.7,63,48.1,56.6,61.6,29.9,34.4,0,40.9,,1.58,3.62,3.6,0,4.45,6.27,8.8,5.83,0.07,1.47,7.35,2.38,0.76,0.44,3.03,4.83,2.51,0.05,0.44
1999-06-01,103026.599,88890.119,36644.771,69,138.6,71.5,41.8,67.8,78,32.8,36.2,0,null,,10.56,3.51,2.54,0.0005,4.63,4.75,2.22,1.73,0,3,8.73,1.01,0.95,0.53,4.13,5,1.43,0.3,0.13
1999-07-01,84274.234,68901.519,31013.725,46.2,null,null,40.2,32.2,47.2,34.1,40,0,37.2,,4.12,0.21,2.05,2.96,4.36,3.45,1.99,0.55,0.42,8.17,1.98,2.23,1.1,0.18,4.89,2.65,1.75,6.05,0
1999-08-01,148141.795,116809.8,42655.136,112.1,155.2,null,70.4,94.2,79.2,40.6,48.6,0,48.2,,8.8,1.77,0.12,0.92,1.81,1.87,0.0005,2.34,0,4.55,0.48,2.57,2.05,0.15,3.39,0.69,4.59,4.81,0
1999-09-01,186438.02,162557.364,97005.053,81.8,91.8,null,75.6,74.8,54.2,57.8,63.2,0,54.2,,5.99,1.19,0.86,1.31,2.72,1.18,1.49,1.98,0.09,16.85,3.49,0.46,0.69,0.07,4.91,2.94,1.55,1.75,0
1999-10-01,355335.175,283942.487,157000.064,115,204,125.2,108.4,99,97.8,103.6,114.4,0,null,,0.48,3.1,3.21,0,2.23,2.68,2.5,0.65,0,3.28,1.2,0.3,0.0005,0.65,4.03,2.7,0.42,0,0
1999-11-01,255043.357,250327.635,216608.969,71.4,111.2,48.8,50.8,56.8,60.6,32.7,33.2,0,null,,1.05,0.07,0.54,0,3.98,3.86,0.29,0.05,0,2.35,3.25,0.27,0.04,2.68,1.64,1.78,0.0005,0.0005,0.71
1999-12-01,392364.436,374505.262,266319.49,166.8,201.8,162.4,122.4,129.8,141.8,92.4,103.8,0,93.1,,0.95,4.38,3.22,0,1.09,5.85,4.25,0.82,0,2.43,5.35,0.0005,0.16,0.31,1.52,3.86,0.42,0.05,0
2000-01-01,476001.902,466534.468,281858.12,83.6,78.8,39.8,58,79.2,79.2,41.6,31.8,null,34,,3.72,1.69,1.9,0.01,3.72,2.28,0.06,0.01,0.0005,4.45,null,0.15,1.83,11.52,8.53,null,0.0005,0.0005,1.77
2000-02-01,360813.247,351238.117,235624.774,20.4,31.6,42.6,28.4,13.6,22,28.2,28.2,null,null,,1.85,1.94,1.41,0.0005,2.28,1.3,1.61,0,0.43,1.38,2.8,0.17,1.03,11.34,1.46,4.14,0,0.25,10.06
2000-03-01,190854.827,176394.592,142825.024,70.6,58.4,46.2,39.6,65.4,65.8,13,17,null,32.5,,3.79,6.04,2.55,2.98,3.5,2.62,4.39,1.75,0.29,3.77,4.06,1.9,3.62,1.34,4.21,7.46,1.26,1.07,2.71
2000-04-01,100807.283,91103.454,61860.472,56,68,39,35.6,51.6,62.4,24,18.4,null,44.3,,0.58,3.46,2.1,0,4.32,1.76,5.73,0.74,0.0005,5.88,0.93,0.9,0.0005,3.17,2.17,5.31,0.58,0.0005,3.59
2000-05-01,85797.238,80155.726,43578.895,124.6,179.4,119.8,93.6,110.8,115,57.4,null,null,66,,0.42,9.44,4.63,0,2.49,3.3,0.66,0.85,0.0005,3.72,9.17,0.82,0.21,2.68,0.12,5.65,0.04,0,0
2000-06-01,122867.367,109176.917,49654.401,null,90.8,60,51.4,74,72.8,39.6,50.6,null,null,,8.31,5.65,13.52,0.34,4.35,8.36,7.12,1.17,0.0005,3.98,10.22,0.6,0.06,0.72,5.32,5.31,7.01,0.22,0
2000-07-01,188472.832,148741.781,56221.739,63.6,114.7,63.2,null,63.8,63.8,31.9,35.4,null,null,,8,0.69,0,0.28,2.21,1.32,0.98,2.25,0,5.44,2.89,1.35,0.21,0,4.15,2.57,1.84,0.72,null
2000-08-01,435377.394,330457.446,104137.214,129,172,115,104.4,121.2,124.2,73,82.8,null,null,,4.37,0,0.1,0.58,4.37,0.31,0,0.26,0.24,5.03,0.55,0.4,1.3,0.09,5.75,0,0.21,2.99,0
2000-09-01,466788.56,326800.396,106983.03,98.4,181.7,73.6,73.4,106.2,100,36.7,41.4,null,45.8,,4.66,2.35,1.21,0.01,2.78,3.47,0.36,0.05,0,5.59,null,0.41,0.97,0.5,8.21,1.02,0.01,0.08,0
2000-10-01,429835.092,334312.063,203915.507,132.2,236.6,null,88.8,100.4,86.8,49.8,52.6,null,null,,0.16,1.23,3.13,3.17,0.04,2.4,4.28,3.83,0.02,0,2.45,1.52,3.64,3.65,0.02,0,4.81,3.82,null
2000-11-01,322597.883,297837.276,191211.921,63,80.5,67.2,40.4,79.4,70.2,41.8,44.8,null,39,,1.09,9.72,6.96,0.5,1.98,7.45,1.27,0.43,0,2.47,4.26,0.03,1.24,1.78,3.65,10.7,2.95,1.22,0
2000-12-01,585822.715,584099.738,279352.182,31.4,21.8,9.6,14.6,null,46.4,13.6,6.8,17.2,2.4,,1.42,5.76,2.87,0,1.3,3.09,0.88,0.84,0,1.78,1.24,0.4,0.68,0.68,1.52,3.04,0.58,0.1,null
2001-01-01,584420.201,578682.943,274760.092,38.8,null,43.4,null,30.8,29.2,44.4,32.4,30,24.4,,0.86,3.47,3,1.77,2.33,2.76,1.09,0.67,1.03,2.51,3.14,0.9,1.76,6.16,2.16,4.18,1.47,0.85,6.9
2001-02-01,341784.563,315588.943,220830.771,87.2,95,95.8,96,94.4,84.8,39.2,60.6,101.8,null,,0.73,11.3,4.76,0.86,2.71,7.97,2.09,0.95,1.32,2.46,4.67,0.29,1.34,5.7,2.87,null,0.21,0.4,7.29
2001-03-01,250928.388,218409.121,180423.651,81.2,76.8,60.6,43.6,68.4,78,32.7,28.8,83,null,,6.68,6.09,6.22,0.77,4.04,2.44,0.81,3.45,0.06,5.27,0.18,0.93,1.04,3.13,8,null,1.86,0.27,null
2001-04-01,144150.608,124382.929,98956.003,45.8,53.8,36,36.8,38.4,51.4,18.5,21.4,35.8,33,,0.95,3.31,1.21,1.06,2.15,2.23,0.97,0.1,0.02,1.95,1.48,0.93,1.28,3.32,1.16,null,0.08,0.89,1.94
2001-05-01,91208.792,75775.018,51747.345,11.8,null,null,8.2,18.8,14.6,3.3,9.2,12,6.2,,2.08,7.18,4.01,0.02,2.47,5.81,8.46,2.82,0.01,1.3,3.23,4.23,0.48,0.07,2.45,null,1.32,1.09,0.02
2001-06-01,86974.329,70308.909,34404.657,91.2,143.8,88.6,null,91,93.8,36.6,44.2,48.4,45,,5.13,1.73,0.78,0.01,5.29,3.13,0.53,1.76,0,5.78,5.81,2.94,0.3,0,6.21,null,0.76,0.09,null
2001-07-01,76859.723,67809.919,30189.031,42.6,null,43.3,35.8,null,41.2,29.1,null,14,null,,6.65,2.15,0.9,0.67,8.56,2.57,0.06,0.67,0.25,3.79,3.35,3.53,1.05,0.26,2.52,4.1,1.54,2.62,0.03
2001-08-01,156693.722,144978.148,84386.473,107.2,157.8,null,42,null,92.2,30.4,34.6,36.8,46.8,,6.06,2.81,3.02,0.46,3.68,3.36,3.63,2.83,0,5.43,2.08,0.26,2.14,0,1.2,2.34,1.62,2.42,0
2001-09-01,280496.912,259018.459,136352.176,55.2,86.8,54.4,33.8,53,63.6,44.6,44,20.4,null,,9.95,4.68,3.1,0,3.42,4.26,2.32,0.19,0,0.91,4.11,1.03,0.03,0.3,2.47,1.21,2.34,1.37,0
2001-10-01,455071.254,427430.146,286444.389,null,null,null,43.4,null,106.4,55.7,60.4,31.4,59.4,,0.37,7.43,4.33,0.02,0.66,4.04,0.13,0.15,0,0.81,5.13,0.0005,0.34,0.9,0.74,11.26,0.74,0.07,0.31
2001-11-01,383675.318,372309.982,286090.599,35.6,25,null,null,null,29.6,22.5,27,37,15.2,,0.99,5.54,3.63,0.2,0.63,2.81,1.27,1.57,0.01,0.42,3.79,0.47,1.43,8.25,1.43,4.28,0.82,1.67,3.54
2001-12-01,473253.529,466495.443,297866.264,10,24,3.6,null,7.6,9.2,5.6,4.8,4.6,6,,1.86,8.47,4.58,0.88,2.29,8.23,0.14,0.34,0.0005,2.24,2.97,0.26,1.17,10.98,1.71,11.23,0.03,0.54,1.63
2002-01-01,459068.303,451045.545,291561.814,12.8,36.8,12.2,8,28,8,2.4,4.2,5.2,4.2,,5.73,2.84,0.55,0.05,4.01,4.81,0.16,0.54,0,3.61,3.11,0.34,0.16,2.22,4.05,5.84,0.71,0.96,1.21
